Op_Seq,BOM_Target(EA),Item_Description,Ref_Des,PDF_Actual(EA),Actual_fond(EA),Not_found(EA),Result
150,2.0,CONN_CONNECTEUR DE TRANSITION MALE POUR C.I.,"P4,P5",,,,
150,4.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 12,1KOHM 1% 100MW 100PPM 7""","XR11,XR14,XR16,XR20",,,,
150,7.0,"RESISTOR_THICK-FILM RESISTOR 0603 RC22H 10KOHM 1% 100MW 100PPM 7""","XR1,XR2,XR3,XR6,XR226,XR259,XR260",,,,
150,6.0,"CAPACITOR_CERAMIC CAPACITOR II 1206 X7R 1UF 10% 16V 7""","XC20,XC21,XC22,XC27,XC28,XC29",,,,
150,1.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 100 OHM 1% 0,125W 100PPM BD",XR132,,,,
150,4.0,"CAPACITOR_CONDENSATEUR TANTALE SOLIDE TAJ TA.SOLIDE 3,3UF 10% 16V","XC2,XC5,XC17,XC18",,,,
150,22.0,"CAPACITOR_EMI FILTER 360PF 20% 7""","XFL2,XFL3,XFL4,XFL5,XFL6,XFL7,XFL8,XFL9,XFL10,XFL11,XFL12,XFL13,XFL14,XFL15,XFL16,XFL17,XFL18,XFL19,XFL20,XFL21,XFL22,XFL23",,,,
150,2.0,"CAP_SMD T-FILTER 3,3NF -20+80% 100V","XFL1,XFL24",,,,
150,1.0,DIODE_SMD PROTEC. DIODE SMCJ 7V5 5% DO214AB,XCR243,,,,
150,1.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE RR0603K 7,32 KOHM 1% 0,063W",XR5,,,,
150,2.0,DIODE_DIODE PROTEC.CMS SMBJ 12V 5% BI DO214AA,"XCR211,XCR236",,,,
150,8.0,DIODE_DIODE ZENER CMS 10V 5% SOD80,"XCR56,XCR57,XCR72,XCR73,XCR88,XCR89,XCR122,XCR123",,,,
150,37.0,TESTPOINT PIN_PONT DE TEST C12000B EN BANDE,"XTP1,XTP2,XTP3,XTP4,XTP5,XTP6,XTP7,XTP8,XTP9,XTP10,XTP11,XTP12,XTP13,XTP14,XTP15,XTP16,XTP17,XTP18,XTP19,XTP20,XTP21,XTP23,XTP24,XTP25,XTP26,XTP27,XTP28,XTP29,XTP30,XTP31,XTP32,XTP33,XTP34,XTP35,XTP36,XTP37,XTP38",,,,
150,108.0,DIODE_DIODE DE COMMUTATION RAPIDE 4448 100V 150MA SOD80C,"XCR16,XCR17,XCR18,XCR19,XCR20,XCR21,XCR22,XCR23,XCR24,XCR25,XCR26,XCR27,XCR28,XCR29,XCR30,XCR31,XCR32,XCR33,XCR34,XCR35,XCR36,XCR37,XCR38,XCR39,XCR40,XCR41,XCR42,XCR43,XCR44,XCR45,XCR46,XCR47,XCR48,XCR49,XCR50,XCR51,XCR52,XCR53,XCR54,XCR55,XCR58,XCR59,XCR60,XCR61,XCR62,XCR63,XCR64,XCR65,XCR66,XCR67,XCR68,XCR69,XCR70,XCR71,XCR74,XCR75,XCR76,XCR77,XCR78,XCR79,XCR80,XCR81,XCR82,XCR83,XCR84,XCR85,XCR86,XCR87,XCR108,XCR109,XCR110,XCR111,XCR112,XCR113,XCR114,XCR115,XCR116,XCR117,XCR118,XCR119,XCR120,XCR121,XCR143,XCR144,XCR145,XCR146,XCR147,XCR148,XCR149,XCR150,XCR151,XCR152,XCR153,XCR154,XCR155,XCR156,XCR157,XCR158,XCR159,XCR160,XCR161,XCR162,XCR163,XCR164,XCR165,XCR166,XCR167,XCR168",,,,
150,1.0,CONN_PASSAGE ISOLANT TEFLON NOIR,TP00,,,,
150,45.0,DIODE_SMD RECT.DIODE 1000V 1A DO219AB LF,"XCR2,XCR3,XCR4,XCR5,XCR7,XCR14,XCR15,XCR186,XCR187,XCR188,XCR189,XCR190,XCR191,XCR192,XCR193,XCR194,XCR195,XCR196,XCR197,XCR198,XCR199,XCR200,XCR201,XCR202,XCR203,XCR204,XCR217,XCR218,XCR219,XCR220,XCR221,XCR222,XCR223,XCR224,XCR225,XCR226,XCR227,XCR228,XCR229,XCR230,XCR231,XCR232,XCR233,XCR234,XCR235",,,,
150,10.0,"CAPACITOR_CONDENSATEUR CERAMIQUE 2 A BISMUTH 0603 X7R 47NF 10% 25V 7""","XC23,XC24,XC25,XC26,XC30,XC31,XC32,XC33,XC34,XC35",,,,
